timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1528106663.395509,0.051365,0.460706,0.245017,-0.153679,-0.022881,-0.113440,0.045989,-0.444581,-0.894557,0.039857,-0.158309,0.002070,22.425552,-19.749329,-21.936737,,,,,,,
1528106663.415590,0.051868,0.456064,0.243967,-0.270680,0.081340,-0.085384,0.046546,-0.440418,-0.896585,0.024698,-0.078671,-0.013281,22.553112,-19.620047,-22.188568,,,,,,,
1528106663.435670,0.054875,0.449494,0.242774,-0.322902,0.118495,-0.051563,0.049399,-0.434510,-0.899311,0.007165,0.025544,-0.020764,22.509811,-19.655218,-22.239258,,,,,,,
1528106663.455720,0.054280,0.444776,0.242775,-0.194296,-0.139975,0.010635,0.048975,-0.430255,-0.901377,0.035742,0.021579,-0.016546,22.543495,-19.068338,-22.246338,,,,,,,
1528106663.475801,0.048975,0.443121,0.243179,-0.040546,-0.311462,-0.003436,0.044227,-0.428761,-0.902334,0.000847,0.027348,0.001227,22.607304,-19.273285,-22.452454,,,,,,,
1528106663.495881,0.043732,0.443185,0.242765,0.009614,-0.199627,-0.034315,0.039495,-0.428819,-0.902526,-0.011907,0.021104,0.007659,22.511974,-19.258110,-22.691284,,,,,,,
1528106663.515932,0.042135,0.444839,0.242492,0.149520,-0.029230,0.021836,0.038024,-0.430313,-0.901878,-0.011916,0.042526,-0.015221,22.252316,-19.479219,-22.625214,,,,,,,
1528106663.536012,0.040158,0.449326,0.243770,0.232691,-0.156189,0.045685,0.036162,-0.434358,-0.900014,0.051714,0.032518,0.008397,22.330593,-19.534868,-22.880157,,,,,,,
1528106663.556093,0.033890,0.453917,0.242494,0.266195,-0.446493,-0.074314,0.030453,-0.438489,-0.898220,0.015934,0.159864,0.008480,22.528877,-19.685120,-22.839081,,,,,,,
1528106663.576143,0.027143,0.460882,0.238543,0.390121,-0.398483,-0.212746,0.024308,-0.444739,-0.895330,0.061309,0.069723,-0.005137,22.124130,-19.863661,-23.062073,,,,,,,
1528106663.596223,0.023576,0.468204,0.232949,0.352946,-0.257256,-0.230607,0.021037,-0.451284,-0.892132,0.004186,0.029943,-0.001041,22.167645,-19.994240,-23.035889,,,,,,,
1528106663.616312,0.021459,0.473645,0.229186,0.225539,-0.186316,-0.130086,0.019095,-0.456133,-0.889706,-0.002799,0.005114,0.010891,22.148609,-19.906214,-22.735443,,,,,,,
1528106663.636361,0.018576,0.476089,0.227571,0.077137,-0.175559,-0.036574,0.016509,-0.458307,-0.888640,-0.008208,-0.043021,0.024291,22.054638,-19.882339,-23.017822,,,,,,,
1528106663.656441,0.017402,0.474019,0.228500,-0.210420,0.077539,0.069438,0.015483,-0.456466,-0.889605,-0.005626,-0.119904,0.020205,21.931816,-19.819210,-23.017792,,,,,,,
1528106663.676522,0.021811,0.468105,0.230159,-0.282269,0.294622,0.038734,0.019463,-0.451196,-0.892212,0.017493,-0.169409,-0.012344,21.898788,-19.668760,-22.888092,,,,,,,
1528106663.696573,0.026394,0.462088,0.230204,-0.296610,0.148709,-0.024322,0.023623,-0.445818,-0.894811,-0.024707,0.035204,0.004385,22.094852,-19.518642,-23.008789,,,,,,,
1528106663.716653,0.028483,0.457005,0.228682,-0.237614,0.026894,-0.123813,0.025557,-0.441262,-0.897014,0.011690,0.000100,0.030894,22.110214,-19.200359,-22.981720,,,,,,,
1528106663.736733,0.030060,0.452033,0.225030,-0.269949,0.003058,-0.184270,0.027037,-0.436795,-0.899154,-0.019789,0.018277,0.017181,22.126305,-19.319443,-23.262360,,,,,,,
1528106663.756783,0.031816,0.445672,0.221858,-0.373896,0.063425,-0.147737,0.028704,-0.431064,-0.901864,-0.039003,0.025333,0.039819,22.265541,-19.061754,-23.041351,,,,,,,
1528106663.776865,0.034219,0.437812,0.218971,-0.370264,0.032359,-0.163918,0.030986,-0.423959,-0.905151,-0.009440,-0.007758,0.063033,22.329502,-18.787819,-23.208374,,,,,,,
